Solvent Name,Energy,Free Energy,JobID,SMILES,Solvent Inchi,deltaG_Sol-Wat(kcal/mol),logP at 25C
METHYL ETHANOATE,-76.4335881,-76.43029227, job_138 ,CC(=O)OC,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,3.829003442188843,-2.8064618180460665
TETRAHYDROFURAN,-76.43365759,-76.43036449, job_164 ,C1CCOC1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,3.7836847422044815,-2.773245550923337
O-NITROTOLUENE,-76.4336415,-76.43037084, job_147 ,CC1=CC=CC=C1[N+](=O)[O-],"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",3.7797000600591915,-2.770324984654163
METHYL METHANOATE,-76.4336722,-76.43038481, job_139 ,COC=O,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",3.7709337593217183,-2.763899738848909
ETHYL METHANOATE,-76.43370159,-76.43041261, job_119 ,CCOC=O,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",3.7534890091229585,-2.751113637687771
"TETRAHYDROTHIOPHENE-S,S-DIOXIDE",-76.43375754,-76.43049161, job_165 ,C1CCS(=O)(=O)C1,InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2,3.7039157981232744,-2.7147790336663595
PROPANOIC ACID,-76.4338955,-76.43052748, job_158 ,CCC(=O)O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",3.681407050299096,-2.6982812837180146
NITROBENZENE,-76.43382606,-76.43055897, job_144 ,C1=CC=C(C=C1)[N+](=O)[O-],InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,3.6616467918815574,-2.683798034590444
1-NITROPROPANE,-76.43385187,-76.4305826, job_26 ,CCC[N+](=O)[O-],"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",3.6468187542197454,-2.672929848608706
PENTANAL,-76.43391046,-76.43062728, job_151 ,CCCCC=O,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",3.6187816520984795,-2.652380100409208
BENZONITRILE,-76.43390525,-76.4306362, job_67 ,C1=CC=C(C=C1)C#N,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,3.613184271819057,-2.6482775096770608
2-NITROPROPANE,-76.43393568,-76.43066773, job_47 ,CC(C)[N+](=O)[O-],"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",3.5933989130483592,-2.6337758632866453
CYCLOPENTANONE,-76.4339453,-76.43066844, job_93 ,C1CCC(=O)C1,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,3.592953381652707,-2.633449311778004
2-OCTANONE,-76.43398911,-76.43070487, job_48 ,CCCCCCC(=O)C,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",3.570093228786205,-2.6166940000779295
"2,6-DIMETHYLPYRIDINE",-76.4340067,-76.43071386, job_36 ,CC1=NC(=CC=C1)C,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",3.564451922877607,-2.612559214127633
